0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,30,31,32,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,208,209
0.057629673,0.036981113,0.045640009,0.032219515,0.046620982,0.022344819,-0.010423129,0.058350788,0.049977553,0.005994732,0.041257344,0.028497818,0.051437489,0.057957742,0.061568577,0.081516486,0.074935687,0.100114765,0.030529042,0.052908828,0.181167367,0.07536067,0.074172164,0.054333462,0.006571617,0.034495271,0.071122037,0.095731167,0.121444456,0.101999582,0.073637496,0.035439904,0.052203142,0.144143127,0.113295483,0.013470373,0.015042265,0.057252676,0.019651653,0.013907811,0.057664535,0.023979441,0.04332609,-0.103589674,-0.028850579,0.042452713,0.0399279,0.039514393,-0.009833086,0.057888316,0.070461297,0.05758868,0.022231147,0.037811606,0.037123291,0.033661412,0.101200098,0.044350243,0.023390099,0.05621488,0.040664075,0.024425825,-0.079610445,-0.100497949,-0.023778791,0.058531356,-0.042828156,-0.044340696,0.033758399,0.038745554,-0.06484679,0.038547986,-0.01824222,-0.130860845,0.003986495,-0.06089376,-0.03812003,-0.013893968,0.012708489,0.062132879,0.006913221,-0.037579512,0.017309895,-0.089067161,0.033475204,-0.042224009,-0.014159085,-0.075580922,-0.064801722,-0.065609335,-0.020819767,0.050593427,-0.008745978,0.031455272,-0.043531284,-0.006563491,-0.074855202,-0.062281874,-0.034385259,-0.017777143,-0.015538657,-0.002272992,-0.122454212,-0.171620154,-0.128599872,-0.12990065,-0.080994535,-0.14546247,-0.14116644,-0.208348231,-0.167592106,-0.114016013,-0.136907199,0.051845237,0.028123815,-0.022211322,-0.098295454,0.063591472,-0.033987196,0.068222019,0.064938588,0.045774074,0.010082772,0.038539133,-0.138765763,0.041872525,0.095735355,0.067934787,0.042224156,0.061666428,0.029935645,0.032521449,0.037196056,0.058753649,0.018252033,0.038001784,0.019097218,0.013035854,0.015390096,0.0162885,0.08089682,0.040521284,0.001352066,0.036024175,0.042600219,0.04511213,-0.042427822,0.04929071,0.021478125,0.044391567,-0.05333188,0.083080209,0.065385991,0.038402581,0.0394677,-0.127509851,-0.061160816,-0.156947552,-0.182792384,-0.036303141,0.015690476,-0.194342207,-0.123206128,-0.11888379,-0.137596429,-0.106959205,-0.032445159,0.01354146,-0.124678772,-0.105387229,-0.073839966,-0.083143588,0.014497095,-0.072993107,-0.117433847,-0.033102183,-0.009550169,0.015741849,-0.01269919,-0.097410292,-0.010388044,-0.006966117,0.011888792,0.029537739,-0.06062227,0.044835402,0.107703872,-0.008511554,-0.034441112,0.000668967,-0.033665098,0.037679442,0.01922859,0.005343277,0.002191004,0.054495255,-0.129538825,0.064973982,0.045021209,0.071433333,0.003913901,0.036632086
0.144658081,0.213399224,0.107986126,0.125721068,0.108292804,0.000927139,0.091564295,0.072013083,0.088056994,0.005392538,0.142206232,0.062239427,0.040540118,0.066563203,0.025842116,0.115427914,0.112103082,0.070437778,0.157972293,0.032356805,0.098633929,0.112856718,0.092577214,0.086180525,0.127496469,0.070585366,0.068853768,0.002581941,0.058862303,0.026925004,0.04367056,0.049394632,0.057044946,-0.001896341,0.039189421,0.018389673,0.106868527,0.047057593,0.056438281,0.03947599,0.085573844,0.075979417,0.127767865,0.044507729,-0.006304379,0.04108793,0.035629684,0.003575679,0.06027693,0.044003418,0.105701507,-0.077699259,-0.083768861,0.016109761,-0.029852358,0.048237003,0.015203991,0.030372882,0.04086692,0.016651151,-0.000811375,-0.053150019,0.010069021,-0.092828095,-0.102599773,-0.048242278,-0.058236964,-0.10675843,-0.032304106,0.014462846,-0.00055398,-0.054396691,-0.029778477,-0.033278287,-0.018082578,0.013815344,-0.017744145,-0.04533899,-0.051698565,-0.10649397,-0.003661209,-0.031033106,-0.003247242,0.065021467,-0.002057798,-0.002858669,-0.024115907,-0.087288115,-0.016008222,0.024563244,-0.028518562,-0.170074692,-0.01339258,-0.064645306,-0.035510876,0.069482562,0.013459539,-0.016420487,-0.049608481,-0.087637396,-0.057842933,-0.049369496,0.03712293,0.064465117,-0.008232728,0.002080365,0.074471093,0.116498383,0.075692363,0.069527693,0.039524848,0.025755271,0.059739157,-0.034247804,-0.187171422,-0.104229561,0.021917782,-0.024866941,-0.10569335,-0.03224659,-0.161547472,0.009623519,0.020714134,-0.025928413,-0.11867179,0.01388089,0.028394179,0.022601982,-0.023001175,-0.002288241,-0.003081405,-0.004077817,-0.108234008,-0.002915947,-0.046285181,-0.001106165,0.015436788,0.017480772,-0.084932968,-0.043918194,0.016036758,-0.008641115,-0.00169473,0.023716252,-0.11554202,0.003322424,0.014505261,-0.082246017,-0.070914007,-0.036593083,-0.072380467,-0.096017136,-0.095421451,-0.12283006,-0.105265359,0.001639761,-0.02569593,0.087957182,-0.038083363,-0.066429021,-0.04092911,0.012863175,0.129215356,-0.002925556,0.017172962,0.060927659,0.101206418,-0.033972956,-0.064421875,0.009879231,0.079224154,0.066418533,0.007946828,0.005318961,-0.093308874,0.091194043,0.071948653,-0.027330512,-0.016560018,0.040300461,0.053408626,-0.08870241,-0.178971051,-0.087883682,-0.048022843,-0.06392754,-0.151291571,-0.101651517,-0.134381953,-0.052154156,-0.083839819,-0.048657235,0.008595115,-0.059170066,-0.015481009,-0.075316378,0.02017027,-0.089395974,-0.079782409,-0.027466435,-0.060168222,-0.04584516
