,auc,acc,pre,recall,f1
1,0.9362527716186252,0.8352941176470589,0.9354838709677419,0.7073170731707317,0.8055555555555556
2,0.886904761904762,0.8222222222222222,0.7241379310344828,1.0,0.8400000000000001
3,0.9448198198198199,0.9016393442622951,0.875,0.875,0.875
4,0.7871572871572873,0.7037037037037037,0.578125,0.8809523809523809,0.6981132075471698
5,0.8525641025641026,0.7281553398058253,0.8913043478260869,0.640625,0.7454545454545454
6,0.8816738816738816,0.7592592592592593,0.625,0.9523809523809523,0.7547169811320755
7,0.7572590011614402,0.6385542168674698,0.8333333333333334,0.35714285714285715,0.5
8,0.9041019955654103,0.8117647058823529,0.8787878787878788,0.7073170731707317,0.7837837837837839
9,0.8650793650793651,0.6666666666666666,0.5833333333333334,1.0,0.7368421052631579
10,0.918918918918919,0.819672131147541,0.8095238095238095,0.7083333333333334,0.7555555555555556
11,0.8026695526695525,0.7129629629629629,0.5873015873015873,0.8809523809523809,0.7047619047619047
12,0.8810096153846153,0.8058252427184466,0.8333333333333334,0.859375,0.8461538461538461
13,0.9393939393939394,0.8333333333333334,0.75,0.8571428571428571,0.7999999999999999
14,0.7392566782810686,0.5903614457831325,0.7222222222222222,0.30952380952380953,0.4333333333333334
15,0.9645232815964524,0.8941176470588236,0.8478260869565217,0.9512195121951219,0.8965517241379309
16,0.871031746031746,0.7777777777777778,0.7391304347826086,0.8095238095238095,0.7727272727272727
17,0.8344594594594594,0.6721311475409836,0.5555555555555556,0.8333333333333334,0.6666666666666667
18,0.7117604617604617,0.6759259259259259,0.559322033898305,0.7857142857142857,0.6534653465346535
19,0.8265224358974359,0.5436893203883495,0.9473684210526315,0.28125,0.43373493975903615
20,0.898989898989899,0.7407407407407407,0.6,1.0,0.7499999999999999
21,0.8925667828106852,0.7951807228915663,0.9310344827586207,0.6428571428571429,0.7605633802816901
